prioridade;acao;motivo;sku;sku_root;anuncio_id;titulo;preco_atual;preco_sugerido;delta_preco;preco_minimo_margem;margem_atual;margem_preco_sugerido;menor_concorrencia;custo;tarifa_percentual;frete_pago;valor_recebe_atual;repasse_sugerido;status_competicao;estoque;origem_custo;url
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX3739456556;DPX3739456556;6605322396;;25.99;25.99;0;23.83;24.82;24.82;0;12.99;0;6.55;0;19.44;PERDENDO;35;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX7345014180;DPX7345014180;6600837024;;79.7;79.7;0;66.04;32.06;32.06;0;40;0;14.15;0;65.55;PERDENDO;7;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX2265293873;DPX2265293873;6666296726;;26.9;26.9;0;16.51;49.67;49.67;0;6.99;0;6.55;0;20.35;PERDENDO;9;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX9512594780;DPX9512594780;6666286154;;20.49;20.49;0;16.51;33.92;33.92;0;6.99;0;6.55;0;13.94;PERDENDO;96;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX4667320935;DPX4667320935;6666153910;;24.45;24.45;0;18.95;36.44;36.44;0;8.99;0;6.55;0;17.9;PERDENDO;9;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX4184869331;DPX4184869331;6673490508;;37.49;37.49;0;26.39;42.28;42.28;0;14.99;0;6.65;0;30.84;PERDENDO;24;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX4772824090;DPX4772824090;6673402976;;255.49;255.49;0;178.35;42.76;42.76;0;120;0;26.25;0;229.24;PERDENDO;8;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX2397207040;DPX2397207040;4584567759;;42.9;42.9;0;37.49;28.34;28.34;0;23.99;0;6.75;0;36.15;PERDENDO;6;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX1989912605;DPX1989912605;6666291572;;26.8;26.8;0;14.62;55.26;55.26;0;11.99;0;0;0;26.8;PERDENDO;12;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX3475899645;DPX3475899645;6673490630;;37.49;37.49;0;26.27;42.54;42.54;0;14.99;0;6.55;0;30.94;PERDENDO;5;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX7107887534;DPX7107887534;6673490714;;21.24;21.24;0;20.17;22.13;22.13;0;9.99;0;6.55;0;14.69;PERDENDO;498;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX7546440419;DPX7546440419;6673402982;;30.49;30.49;0;22.61;39.19;39.19;0;11.99;0;6.55;0;23.94;PERDENDO;10;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX1502432404;DPX1502432404;6673403254;;16.24;16.24;0;14.56;26.48;26.48;0;5.99;0;5.95;0;10.29;PERDENDO;24;data/produtos.json;
ALTA;SUBIR_PARA_MARGEM;Preço atual não garante margem mínima.;DPX3109759246;DPX3109759246;4631442253;;20.5;28.71;8.21;28.71;-14.83;18.01;0;16.99;0;6.55;0;22.16;PERDENDO;10;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX6071016831;DPX6071016831;6673403202;;26.49;26.49;0;20.41;36.81;36.81;0;9.99;0;6.75;0;19.74;PERDENDO;5;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX9247723847;DPX9247723847;6673402558;;33.49;33.49;0;23.83;41.65;41.65;0;12.99;0;6.55;0;26.94;PERDENDO;3;data/produtos.json;
ALTA;SUBIR_PARA_MARGEM;Preço atual não garante margem mínima.;DPX4082693304;DPX4082693304;4601648813;;21.09;37.37;16.28;37.37;-45.28;18.01;0;8.99;0;21.65;0;15.72;PERDENDO;24;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX7715244020;DPX7715244020;6673403356;;20.49;20.49;0;16.51;33.92;33.92;0;6.99;0;6.55;0;13.94;PERDENDO;8;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX8102996634;DPX8102996634;6605368398;;24.66;24.66;0;20.77;30.94;30.94;0;10.08;0;6.95;0;17.71;PERDENDO;60;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX3243139916VAR2;DPX3243139916;6673489578;;33.49;33.49;0;23.83;41.65;41.65;0;12.99;0;6.55;0;26.94;PERDENDO;4;data/produtos.json;
ALTA;REVISAR_CUSTO;Sem custo encontrado para calcular margem mínima.;DPX9436189481;DPX9436189481;6571866778;;193.49;193.49;;0;;;0;0;0;21.65;0;;PERDENDO;3;;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX2979819860;DPX2979819860;6673490372;;26.49;26.49;0;20.17;37.56;37.56;0;9.99;0;6.55;0;19.94;PERDENDO;12;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX6301202308;DPX6301202308;6673403068;;22.49;22.49;0;17.73;35.35;35.35;0;7.99;0;6.55;0;15.94;PERDENDO;24;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX7683072380;DPX7683072380;6673403140;;28.49;28.49;0;21.16;39.1;39.1;0;10.8;0;6.55;0;21.94;PERDENDO;8;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX5936145191;DPX5936145191;6666155360;;18.49;18.49;0;14.2;37.05;37.05;0;5.99;0;5.65;0;12.84;PERDENDO;8;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX9353375373;DPX9353375373;6574917542;;22.35;22.35;0;20.17;26;26;0;9.99;0;6.55;0;15.8;PERDENDO;6;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX4589274550;DPX4589274550;6673402596;;26.49;26.49;0;11.89;63.19;63.19;0;9.75;0;0;0;26.49;PERDENDO;12;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX7424170324VAR4;DPX7424170324;6666545582;;30.49;30.49;0;22.73;38.87;38.87;0;11.99;0;6.65;0;23.84;PERDENDO;12;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX1195691602;DPX1195691602;4631442957;;18.35;18.35;0;16.63;25.67;25.67;0;7.99;0;5.65;0;12.7;PERDENDO;22;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX9097598006;DPX9097598006;6572557750;;70.49;70.49;0;47.61;44.62;44.62;0;30.99;0;8.05;0;62.44;PERDENDO;150;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX2924390082;DPX2924390082;6666294216;;110.49;110.49;0;82.01;39.13;39.13;0;50.4;0;16.85;0;93.64;PERDENDO;9;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX2397069652;DPX2397069652;4631439933;;33.49;33.49;0;23.83;41.65;41.65;0;12.99;0;6.55;0;26.94;COMPARTILHANDO;4;data/produtos.json;
BAIXA;MANTER;Preço atual já respeita a margem mínima.;DPX6773313631;DPX6773313631;6605286158;;20.49;20.49;0;16.51;33.92;33.92;0;6.99;0;6.55;0;13.94;GANHANDO;10;data/produtos.json;
